,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2023-03-06,138.58,145.435,136.08,143.23,143.23,7313504,0.0
1,2023-02-28,153.31,157.31,138.72,141.97,141.97,23987443,0.0
2,2023-01-31,151.96,159.59,143.01,152.08,152.08,25394910,0.0
3,2022-12-30,156.73,160.265,145.88,149.65,149.65,25282580,0.225
4,2022-11-30,139.5,157.44,130.66,154.98,154.7473,30724422,0.0
5,2022-10-31,122.73,139.31,121.68,138.35,138.1423,27011517,0.21
6,2022-09-30,127.63,140.0,120.6,121.55,121.1662,31677201,0.0
7,2022-08-31,133.51,149.0,127.155,128.25,127.845,32008351,0.0
8,2022-07-29,118.79,134.5,113.02,134.1,133.6766,27261533,0.21
9,2022-06-30,127.86,131.2,112.52,118.77,118.1868,35110239,0.0
10,2022-05-31,118.38,130.77,112.64,127.56,126.9336,45545913,0.0
11,2022-04-29,134.18,137.08,117.24,119.27,118.6843,43886365,0.21
12,2022-03-31,130.83,140.1997,126.9,132.33,131.4754,46185679,0.0
13,2022-02-28,140.53,145.1,123.06,130.36,129.5181,42302498,0.0
14,2022-01-31,159.0,159.44,131.215,139.32,138.4202,39870604,0.21
15,2021-12-31,151.12,162.62,147.72,159.65,158.4063,33692805,0.0
16,2021-11-30,157.38,165.68,149.7,150.9,149.7245,34250114,0.0
17,2021-10-29,157.15,159.92,146.3,157.49,156.2632,28862915,0.194
18,2021-09-30,175.04,179.57,157.46,157.53,156.1041,29921444,0.0
19,2021-08-31,154.05,177.19,152.52,175.47,173.8817,36990536,0.0
20,2021-07-30,147.77,153.6,146.95,153.23,151.843,38944526,0.194
21,2021-06-30,139.17,148.8422,135.57,147.81,146.2814,38564154,0.0
22,2021-05-28,134.29,139.21,127.13,138.13,136.7015,28548640,0.0
23,2021-04-30,128.0,137.8271,127.005,133.64,132.2579,33182697,0.194
24,2021-03-31,123.05,128.475,112.47,127.14,125.6377,39710391,0.0
25,2021-02-26,120.69,136.98,120.18,122.07,120.6276,33066479,0.0
26,2021-01-29,118.94,129.34,117.11,120.17,118.75,33128020,0.194
27,2020-12-31,117.58,120.24,113.16,118.49,116.8987,35517412,0.0
28,2020-11-30,103.52,118.96,103.29,116.9,115.3301,41212244,0.0
29,2020-10-30,101.77,107.62,99.8127,102.09,100.719,22028078,0.18
30,2020-09-30,100.92,103.66,94.76,100.94,99.4109,27416454,0.0
31,2020-08-31,96.94,101.04,94.5252,100.42,98.8988,27152407,0.0
32,2020-07-31,88.89,98.09,87.3,96.33,94.8707,32369040,0.0
33,2020-06-30,88.04,93.04,83.71,88.37,87.0313,37391144,0.18
34,2020-05-29,75.55,88.49,73.42,88.14,86.6262,47802660,0.0
35,2020-04-30,69.47,80.35,68.14,76.66,75.3433,44079920,0.0
36,2020-03-31,77.31,85.0,61.13,71.62,70.3899,70836854,0.18
37,2020-02-28,83.29,86.08,74.17,77.07,75.5591,43627930,0.0
38,2020-01-31,85.9,90.64,82.34,82.56,80.9415,38841271,0.0
39,2019-12-31,80.78,85.68,79.17,85.31,83.6376,33026192,0.18
40,2019-11-29,76.51,81.34,74.94,80.77,79.0191,34223892,0.0
41,2019-10-31,76.5,76.89,71.73,75.75,74.1079,35085430,0.0
42,2019-09-30,70.7,78.74,69.48,76.63,74.9688,52482880,0.164
43,2019-08-30,69.63,72.77,65.35,71.11,69.4199,56357323,0.0
44,2019-07-31,75.6,76.93,68.1,69.41,67.7603,60674464,0.164
45,2019-06-28,67.04,74.7,66.41,74.67,72.7379,40936826,0.0
46,2019-05-31,78.49,79.56,66.03,67.05,65.3151,77267032,0.0
47,2019-04-30,80.96,82.24,73.76,78.5,76.4688,41866611,0.164
48,2019-03-29,80.0,82.27,77.4,80.38,78.143,32806711,0.0
49,2019-02-28,76.16,79.84,74.76,79.44,77.2292,35942031,0.0
50,2019-01-31,66.5,76.31,62.0,76.05,73.9335,44194263,0.0
51,2018-12-31,73.33,75.11,62.22,67.46,65.5826,50474161,0.164
52,2018-11-30,65.07,72.65,62.4,72.35,70.162,62405317,0.0
53,2018-10-31,70.68,72.37,61.01,64.79,62.8307,65097879,0.149
54,2018-09-28,67.34,71.46,66.76,70.54,68.264,35878290,0.0
55,2018-08-31,65.84,68.15,64.22,67.54,65.3608,56331929,0.0
56,2018-07-31,61.36,66.83,60.79,66.04,63.9092,37940784,0.149
57,2018-06-29,62.47,66.75,60.42,61.84,59.7,65099595,0.0
58,2018-05-31,65.63,70.45,60.7,61.92,59.7773,73190276,0.0
59,2018-04-30,66.65,70.29,63.38,65.74,63.4651,54414061,0.149
60,2018-03-29,68.47,71.53,65.81,66.9,64.4359,46187495,0.0
61,2018-02-28,73.18,74.99,65.03,68.59,66.0637,60200970,0.0
62,2018-01-31,67.42,75.0,67.34,73.43,70.7254,36500580,0.0
63,2017-12-29,69.19,70.0,65.601,66.97,64.5033,35125860,0.149
64,2017-11-30,68.2,70.93,66.25,69.24,66.5417,40167741,0.0
65,2017-10-31,64.29,68.52,64.21,68.03,65.3788,31006274,0.132
66,2017-09-29,64.9,66.45,63.72,64.2,61.5728,27623240,0.0
67,2017-08-31,60.04,64.83,58.22,64.72,62.0715,43037415,0.0
68,2017-07-31,59.59,61.84,59.07,59.79,57.3433,32045730,0.0
69,2017-06-30,60.01,61.15,57.92,59.31,56.8829,42688076,0.132
70,2017-05-31,55.5,60.81,55.36,60.34,57.7411,50601404,0.0
71,2017-04-28,52.9,55.505,52.26,55.05,52.679,32209358,0.0
72,2017-03-31,51.62,54.82,50.86,52.87,50.5929,40891129,0.132
73,2017-02-28,48.93,51.94,48.47,51.3,48.9682,39154971,0.0
74,2017-01-31,45.93,49.48,45.74,48.97,46.7441,45136618,0.0
75,2016-12-30,44.08,46.92,42.92,45.56,43.4891,34087627,0.132
76,2016-11-30,43.73,47.8,43.14,43.98,41.8599,53250890,0.0
77,2016-10-31,46.82,48.15,43.11,43.57,41.4697,37265914,0.0
78,2016-09-30,47.03,47.39,44.47,47.09,44.82,38865627,0.115
79,2016-08-31,48.11,48.63,46.09,46.98,44.6063,45189192,0.0
80,2016-07-29,44.36,48.175,43.36,48.11,45.6792,34720042,0.0
81,2016-06-30,45.75,46.68,41.98,44.36,42.1187,52014373,0.115
82,2016-05-31,41.2,46.0,40.39,45.89,43.4587,53550377,0.0
83,2016-04-29,39.56,41.995,39.17,40.92,38.7521,34715404,0.115
84,2016-03-31,37.63,40.58,37.61,39.85,37.6314,37119011,0.0
85,2016-02-29,37.37,38.19,34.15,37.35,35.2706,53438324,0.0
86,2016-01-29,41.06,41.19,36.01,37.65,35.5539,50735187,0.0
87,2015-12-31,42.16,42.48,39.9,41.81,39.4823,59253076,0.115
88,2015-11-30,37.87,42.2,36.5,41.82,39.3834,74666218,0.0
89,2015-10-30,34.32,38.1,33.115,37.76,35.5599,52998194,0.0
90,2015-09-30,35.37,36.99,33.245,34.33,32.3298,47105942,0.1
91,2015-08-31,40.92,41.35,33.57,36.31,34.0954,56298559,0.0
92,2015-07-31,38.89,41.14,38.61,40.95,38.4525,54239332,0.0
93,2015-06-30,41.43,41.43,38.48,38.58,36.227,58978868,0.1
94,2015-05-29,41.41,42.93,40.82,41.19,38.5814,44097732,0.0
95,2015-04-30,41.46,43.59,40.72,41.37,38.75,47259122,0.0
96,2015-03-31,42.34,42.74,40.3703,41.55,38.9186,44856425,0.1
97,2015-02-27,37.9,42.49,37.71,42.21,39.4409,52417376,0.0
98,2015-01-30,41.18,41.31,37.68,37.77,35.2922,53090623,0.1
99,2014-12-31,42.69,42.73,38.09,40.94,38.1601,48802476,0.0
100,2014-11-28,39.9,42.985,39.49,42.74,39.8379,56373340,15.75
101,2014-10-31,56.85,57.16,49.8,55.28,37.1857,59673703,0.0
102,2014-09-30,57.23,59.4,55.92,56.98,38.3292,36202868,0.132
103,2014-08-29,55.77,59.06,54.189,57.16,38.3607,36928137,0.0
104,2014-07-31,57.74,58.59,55.135,56.09,37.6426,39499700,0.0
105,2014-06-30,56.96,59.58,56.3,57.44,38.5486,30333200,0.132
106,2014-05-30,53.94,57.38,53.66,56.94,38.1255,45804900,0.0
107,2014-04-30,56.2,57.24,51.96,54.04,36.1838,42226300,0.132
108,2014-03-31,56.12,59.32,54.22,55.92,37.3538,51120300,0.0
109,2014-02-28,58.15,60.46,54.87,56.93,38.0285,71462700,0.0
110,2014-01-31,57.1,61.22,56.15,58.15,38.8434,52488700,0.0
111,2013-12-31,53.47,57.94,52.56,57.19,38.2022,42414600,0.132
112,2013-11-29,50.92,55.74,49.84,53.57,35.7016,52319200,0.0
113,2013-10-31,50.7,53.24,49.39,50.76,33.8289,51500300,0.0
114,2013-09-30,47.04,53.47,46.615,51.25,34.1555,65163900,0.12
115,2013-08-30,45.51,48.33,45.32,46.64,31.0111,50116900,0.0
116,2013-07-31,43.05,46.9,42.72,44.73,29.7411,52847800,0.0
117,2013-06-28,45.65,46.45,41.85,42.76,28.4312,68549800,0.12
118,2013-05-31,41.42,47.473,41.236,45.45,30.1353,93214000,0.0
119,2013-04-30,41.83,44.785,40.32,41.44,27.4765,83061400,0.0
120,2013-03-28,41.18,43.52,40.73,41.97,27.8279,61457102,0.12
121,2013-02-28,45.08,45.66,40.19,41.48,27.4246,73615000,0.0
122,2013-01-31,42.17,45.55,41.15,44.78,29.6064,68616100,0.0
123,2012-12-31,38.6,41.74,37.69,40.94,27.0676,68282700,0.1
124,2012-11-30,36.04,38.58,35.45,38.29,25.2534,82243400,0.0
125,2012-10-31,38.5,39.64,35.38,35.99,23.7364,72293700,0.0
126,2012-09-28,36.97,40.14,36.62,38.45,25.3589,75092900,0.1
127,2012-08-31,38.73,40.965,36.55,37.16,24.4445,79969800,0.0
128,2012-07-31,39.53,39.84,35.32,38.29,25.1879,50158600,0.0
129,2012-06-29,39.2,41.45,36.961,39.24,25.8128,63993500,0.1
130,2012-05-31,42.03,43.27,38.44,40.66,26.6789,77397300,0.0
131,2012-04-30,44.51,45.15,39.15,42.18,27.6762,58527700,0.0
132,2012-03-30,43.74,46.28,41.89,44.51,29.2051,61472900,0.1
133,2012-02-29,43.08,45.35,41.76,43.62,28.5569,59955100,0.0
134,2012-01-31,35.84,44.85,35.59,42.47,27.8041,72532700,0.0
135,2011-12-30,37.3,38.58,32.51,34.93,22.8678,58593500,0.0
136,2011-11-30,35.24,39.39,33.215,37.5,24.5503,87117500,0.0
137,2011-10-31,30.9,41.05,28.67,37.07,24.2688,122237200,0.0
138,2011-09-30,36.8,37.41,30.73,31.25,20.4586,115780900,0.0
139,2011-08-31,42.62,42.78,30.22,36.87,24.1379,161036800,0.0
140,2011-07-29,51.23,52.62,41.29,42.16,27.6011,82633000,0.0
141,2011-06-30,49.79,51.99,46.38,51.11,33.4604,77248700,0.0
142,2011-05-31,50.25,55.33,48.13,49.87,32.6487,79257900,0.0
143,2011-04-29,44.88,50.68,44.26,49.91,32.6748,64072700,0.0
144,2011-03-31,41.98,46.81,40.36,44.78,29.3164,99249600,0.0
145,2011-02-28,42.07,45.415,39.94,42.08,27.5487,80894800,0.0
146,2011-01-31,41.56,44.45,40.88,41.83,27.3851,64333300,0.0
147,2010-12-31,35.65,42.08,35.61,41.43,27.1232,74448800,0.0
148,2010-11-30,34.94,37.55,34.38,35.02,22.9267,63843000,0.0
149,2010-10-29,33.69,35.33,32.29,34.8,22.7827,65063300,0.0
150,2010-09-30,27.45,33.54,27.43,33.37,21.8465,68056800,0.0
151,2010-08-31,28.35,29.87,26.68,26.97,17.6566,75721100,0.0
152,2010-07-30,28.5,29.73,26.74,27.93,18.2851,82491000,0.0
153,2010-06-30,32.09,33.37,28.32,28.43,18.6124,72778000,0.0
154,2010-05-28,36.5,36.89,29.97,32.36,21.1853,89200600,0.0
155,2010-04-30,34.54,37.43,33.5494,36.26,23.7385,76023600,0.0
156,2010-03-31,31.43,34.75,31.43,34.39,22.5143,85947100,0.0
157,2010-02-26,28.16,31.52,28.13,31.46,20.5961,77441600,0.0
158,2010-01-29,31.39,31.63,27.92,28.03,18.3505,57197100,0.0
159,2009-12-31,29.1,31.77,28.98,31.07,20.3408,54793500,0.0
160,2009-11-30,24.74,29.7092,24.69,28.92,18.9332,54959300,0.0
161,2009-10-30,26.63,27.75,24.61,24.74,16.1967,68288900,0.0
162,2009-09-30,25.51,29.38,24.96,27.83,18.2196,87127600,0.0
163,2009-08-31,23.61,26.05,23.14,25.68,16.8121,82995000,0.0
164,2009-07-31,20.37,23.89,18.5,23.22,15.2016,74581300,0.0
165,2009-06-30,18.44,20.56,18.17,20.31,13.2965,70640400,0.0
166,2009-05-29,18.21,19.42,17.26,18.23,11.9347,56733000,0.0
167,2009-04-30,15.12,18.94,15.02,18.26,11.9544,72704400,0.0
168,2009-03-31,13.6,17.18,12.02,15.37,10.0624,87628800,0.0
169,2009-02-27,17.79,19.69,13.8,13.87,9.0803,85762200,0.0
170,2009-01-30,15.6,20.04,15.51,18.08,11.8365,102681300,0.0
171,2008-12-31,18.42,18.42,14.76,15.63,10.2326,124345500,0.0
172,2008-11-28,22.13,25.07,15.78,18.83,12.3275,58283400,0.0
173,2008-10-31,29.18,29.92,18.75,22.19,14.5272,78802800,0.0
174,2008-09-30,35.09,35.7,28.64,29.66,19.4177,64919700,0.0
175,2008-08-29,36.14,37.25,34.23,34.76,22.7565,41695300,0.0
176,2008-07-31,35.04,36.92,34.4,36.06,23.6076,57988700,0.0
177,2008-06-30,36.93,38.0,35.35,35.54,23.2672,60364600,0.0
178,2008-05-30,30.2,37.5,29.89,37.39,24.4783,62460500,0.0
179,2008-04-30,29.91,31.99,28.79,30.21,19.7777,48312600,0.0
180,2008-03-31,30.67,31.29,28.88,29.83,19.529,53015100,0.0
181,2008-02-29,34.0,34.86,30.48,30.61,20.0396,81940600,0.0
182,2008-01-31,36.67,37.83,31.26,33.86,22.1673,74045700,0.0
183,2007-12-31,37.48,38.24,34.98,36.74,24.0528,39541300,0.0
184,2007-11-30,36.67,38.14,32.87,37.83,24.7664,52180500,0.0
185,2007-10-31,36.97,39.32,35.44,36.85,24.1248,38861500,0.0
186,2007-09-28,36.59,37.53,35.76,36.88,24.1444,35722800,0.0
187,2007-08-31,38.05,39.0,31.15,36.4,23.8302,76099800,0.0
188,2007-07-31,38.7,40.42,37.26,38.15,24.9759,49540900,0.0
189,2007-06-29,38.23,39.44,36.94,38.44,25.1657,42340800,0.0
